,title,description,date,aid,bvid,time,length,play,typeid,comment,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like,dislike,no_reprint,copyright,typename,section,sub-section
129,【乐正绫原创曲】《夜中灯火》——献给在疫情阻击战中坚守防线的英雄们,"-出品- 共青团山东省委宣传部 
-制作- 
策划统筹：青微山东工作室 
视频制作：琉璃猫映像
-STAFF- 
出品：共青团山东省委宣传部
演唱：乐正绫
作曲：Nekock·LK
作词：因你而在的梦
调教：卦者灵风
编曲：Nekock·LK
混音：洛翼党
曲绘：资本P
视频制作：Kotoli
封面：酒鱼
协作：DBRT
出品：共青团山东省委宣传部

夜中灯火

许下承诺 夜中 定格
万家灯火 解冻 冰河

空荡的街 载不动思念
半遮的脸 笑容都残缺
凝固的血 与死神周旋
生者的愿 为死者安眠
灰暗的天 ",2020-02-06 09:19:12,87094634,BV1L7411h7ZB,1580980752,02:58,250446,30.0,1402.0,250446,2290,1402,15010,17779,2130,0,0,43342,0,1,1,VOCALOID·UTAU-音乐,音乐,VOCALOID·UTAU
130,感动！汶川村民自发支援武汉100吨蔬菜,"人民日报
【感动！汶川村民自发支援武汉100吨蔬菜[加油武汉]】汶川地震后，汶川县100多名伤者被送到武汉免费救治，“作为汶川人，最应该感恩！”这次疫情发生后，四川汶川县三江镇龙竹村村民主动捐赠，驾车36小时运送100吨新鲜蔬菜驰援武汉。6辆卡车上贴着一句话，纪念这份跨越时空的感动：汶川感恩你，武汉要雄起。",2020-02-06 11:07:04,87137280,BV1B7411h7GU,1580987224,01:54,355531,96.0,2274.0,355531,1442,2274,2798,4585,1282,0,0,50726,0,0,2,星海-科技,科技,星海
131,【史图馆】731、“马路大”意味着什么？人类历史上的罪恶一页,"投稿：史图馆
历史不容篡改
七三一，是反人类的代名词
任何对其滔天罪行死难者的嘲弄，都绝不能被容忍——这不仅事关民族尊严
不论是文艺创作者，还是读者、观众，首先都是人
生而为人，就绝对不能突破人类社会的基本底线",2020-02-06 13:00:38,87103025,BV1b7411h755,1580994038,05:15,1305963,96.0,12352.0,1305964,20010,12352,59169,138410,15458,0,0,217938,0,1,1,星海-科技,科技,星海
132,颜丹晨哽咽书信张益华等空乘天使【两地书】：有你们在，万千旅客就踏实了,大年初四，一声来自万米高空的承诺感动中国。面对机上137名甘肃援鄂医疗人员，MU700航班乘务长张益华在满是感恩的机舱广播中数度哽咽。颜丹晨，用动人书信给予这些无畏风险、坚守岗位的姐妹大大的拥抱...,2020-02-06 14:40:25,87141953,BV1z7411h7eM,1581000025,08:01,101662,85.0,926.0,101662,99,926,299,1088,691,0,0,17189,0,1,1,短片-影视,影视,短片
133,【博物馆里的中国通史①】从神话到历史,"【博物馆里的中国通史①从神话到历史】最初的远古的故事，是谁把它流传下来了呢？上下未形，何由考之？天地还没有形成时的景象，又根据什么去了解呢？在遥远的过去，到底发生过什么？那些古老的故事，在历史上出现又消失的人物，对我们又有什么意义？我们又是靠什么来了解过去呢？
博物馆里的中国通史，每日18:00更新",2020-02-07 10:10:18,87293999,BV127411b71Z,1581070218,08:49,144422,37.0,844.0,144422,1480,844,5506,5240,1706,0,0,21508,0,1,1,人文历史-纪录片,纪录片,人文历史
134,我们心在一起,"抗击疫情百人手机献唱 联动全球华人！为武汉为中国加油创造全新奇迹！

新型肺炎疫情爆发，全国人民协力为抗击疫情贡献力量！大灾面前，中华民族再次展现出强大的凝聚力，各地医护人员驰援武汉，全球华人竭尽所能的捐献各种物资……在共青团中央宣传部指导下，歌曲作者孙涌智迅速策划召集，联动新浪网、微博、新浪四川为代表的新浪网地方站、四川新闻网、四川音乐学院等机构，共同发起了公益歌曲《我们心在一起》合唱行动。行动迅速得到了百名体娱明星、支援武汉的医护工作者家属、国内大学生、海外华人留学生，央企海外员工的响应。
无情病疫肆",2020-02-07 12:51:54,87363675,BV1M741187xh,1581079914,05:25,101053,28.0,651.0,101053,747,651,1222,3774,845,0,0,20168,0,1,1,原创音乐-音乐,音乐,原创音乐
135,疫情期间他们仍走街串巷，守护群众！刘佩琦致敬彭宏等基层干部《两地书》,在少出门、少走动成为保护自身健康安全最佳手段的当下，仍有这样一群人每天走街串巷，只为守护千家万户的平安健康——他们，就是我们可敬的基层干部们。“害怕也得上，病毒嘛，就让它来怕我吧！”每日工作14个小时、社区万余居民一家不漏，武汉市江岸区航务社区的社区书记彭宏成了群众关键时刻的“定心丸”。,2020-02-07 14:35:06,87354887,BV197411b7EM,1581086106,08:01,106302,85.0,561.0,106302,100,561,284,1398,706,0,0,19475,0,1,1,短片-影视,影视,短片
136,【博物馆里的中国通史②】地理与环境,"【博物馆里的中国通史②地理与环境】“历史好比演剧，地理就是舞台。”这是历史地理学家谭其骧先生的名言。那么，中国这出大戏的舞台又是什么样的呢？
博物馆里的中国通史，1~7集，每日18:00更新",2020-02-08 10:06:47,87306123,BV1U7411b7tz,1581156407,08:22,93526,37.0,387.0,93526,763,387,2100,2937,882,0,0,15719,0,1,1,人文历史-纪录片,纪录片,人文历史
137,胜利就在前方，武汉加油！,"「武汉加油，战疫必胜！」

没有一个冬天不能逾越，也没有一个春天不会到来。别害怕，耐心等待，敞开吃热干面的那天就在前方！
让我们众志成城，共渡难关，为这座英雄的城市加油！


作词：北方，吕行
作曲：吕行
视频：李键，南诗晨
美工：黄苍也
演唱：吕行",2020-02-09 12:00:34,87752117,BV157411b74v,1581249634,03:48,79408,28.0,692.0,79408,428,692,673,2192,698,0,0,17486,0,1,1,原创音乐-音乐,音乐,原创音乐
138,宅家无聊？精品网课，尽在学习强国！,疫情当前，学习不停。2月1日起“学习强国”学习平台正式上线“在家上学”专题，率领“学而思”“新东方”“作业帮”“猿辅导”“高途课堂”“网易有道”“掌门教育”“三陶教育”“洋葱学院”等国内社会教育机构，为全国中小学生提供全学科、全学段、全覆盖的免费网络在线课程，受到广大家长和学生的热烈欢迎，各地延期开学的学生们通过“在家上学”，真正做到“停课不停学”。,2020-02-10 09:53:43,87995184,BV1F7411t787,1581328423,01:08,107069,166.0,1052.0,107069,160,1052,270,855,637,0,0,14253,0,1,1,广告-广告,广告,广告
