,aid,bvid,title,typeid,section,sub-section,date,time,length,play,comment,danmaku,favorite,coin,share,like,typename,his_rank
78,82329033,BV1vJ411V7fr,【成长启示录④】未成年人家庭暴力调查,37.0,纪录片,人文历史,2020-01-06 10:55:59,1578308159,36:01,69035,1211.0,1663,1007,1765,750,14119,人文历史-纪录片,0
79,82536978,BV18J411572i,特朗普2011年预言：总统为了连任跟伊朗开战,96.0,科技,星海,2020-01-08 03:52:41,1578455561,00:42,1988858,4309.0,2869,36325,22788,77783,110738,星海-科技,5
80,82546796,BV1yJ41157qi,周总理说：我们的目标是,96.0,科技,星海,2020-01-08 05:33:14,1578461594,01:17,1034538,4005.0,0,16096,25987,3204,88982,星海-科技,0
81,82666410,BV18J411G7YV,【青课2019】秦汉帝国强盛密码,39.0,科技,演讲· 公开课,2020-01-09 04:33:00,1578544380,65:25,107854,678.0,1370,2719,2163,529,12404,演讲· 公开课-科技,0
82,82689454,BV11J411G7Ee,【中国有故事 第17集】 时光照相馆,124.0,科技,趣味科普人文,2020-01-09 07:32:27,1578555147,03:59,72961,16.0,0,324,1325,354,10876,趣味科普人文-科技,0
83,82943583,BV1TJ411p74P,【人间值得】每天一遍，防止抑郁,21.0,生活,日常,2020-01-11 04:30:14,1578717014,03:22,1020463,2542.0,2799,53762,71347,12080,126491,日常-生活,37
84,83251570,BV1XJ411n75c,逆行者！民警举盾牌冲进滚石区救人,21.0,生活,日常,2020-01-13 08:17:03,1578903423,00:48,636288,1448.0,1614,4781,9334,943,68231,日常-生活,92
85,83303652,BV1jJ411H7eV,外交部：青蛙的鼓噪，岂能阻止牛到河边饮水,96.0,科技,星海,2020-01-13 14:26:07,1578925567,02:27,678975,2502.0,1863,2794,3822,1164,43851,星海-科技,0
86,83350215,BV1pJ411H7b9,基建狂魔的浪漫与柔情,96.0,科技,星海,2020-01-14 04:03:54,1578974634,06:10,295549,967.0,917,3369,4518,853,26461,星海-科技,0
87,83358880,BV1sJ411H787,【成长启示录⑤】闹市抢劫，1小时疯狂作案六起！16岁男孩为何走上歧途？,37.0,纪录片,人文历史,2020-01-14 06:08:04,1578982084,36:03,137935,686.0,1128,670,1281,562,12925,人文历史-纪录片,0
